subject,サーモ
generated_at,2025-12-01T19:17:17.063630
total_available,26.50
total_needed,25.50
start_date,2025-12-01
test_date,2025-12-08

Day Capacities
Day,AvailableHours
1,0.50
2,3.00
3,3.00
4,2.00
5,2.00
6,8.00
7,8.00

Plan
Day,Task,Assigned,Time(hours)
1,授業プリント,1,1.00
2,授業プリント,3,3.00
3,教科書問題,6,3.00
4,教科書問題,4,2.00
5,教科書問題,4,2.00
6,教科書問題,13,6.50
6,演習プリント,3,1.50
7,演習プリント,5,2.50
7,過去問,2,4.00
